City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Rocha,UY,2022-02-12 15:16:15,-34.4833,-54.3333,68.63,96,100,7.45,overcast clouds
203,Cabedelo,BR,2022-02-12 15:11:41,-6.9811,-34.8339,88.47,67,53,9.84,broken clouds
204,Nedjo,ET,2022-02-12 15:16:15,9.5046,35.5019,74.77,37,81,8.84,broken clouds
205,Luderitz,NA,2022-02-12 15:14:03,-26.6481,15.1594,73.47,68,52,4.52,broken clouds
206,Tiksi,RU,2022-02-12 15:16:16,71.6872,128.8694,-9.26,92,95,17.6,overcast clouds
207,Wicklow,IE,2022-02-12 15:16:16,53.0,-6.4167,47.59,81,85,13.82,overcast clouds
208,Lagoa,PT,2022-02-12 15:15:18,39.05,-27.9833,59.94,85,100,20.24,overcast clouds
209,Talnakh,RU,2022-02-12 15:16:17,69.4865,88.3972,-9.17,79,55,10.09,broken clouds
210,Sri Aman,MY,2022-02-12 15:16:17,1.2376,111.4621,75.25,100,100,2.3,overcast clouds
211,Port Augusta,AU,2022-02-12 15:16:17,-32.5,137.7667,74.95,35,13,6.29,few clouds
212,Skala Fourkas,GR,2022-02-12 15:16:18,39.9998,23.3841,58.95,71,100,8.48,overcast clouds
213,Banda Aceh,ID,2022-02-12 15:16:18,5.5577,95.3222,78.33,86,56,14.07,broken clouds
214,Parabel,RU,2022-02-12 15:16:18,58.6978,81.4825,-5.66,100,43,7.61,scattered clouds
215,Coihaique,CL,2022-02-12 15:13:59,-45.5752,-72.0662,68.61,52,0,5.75,clear sky
216,Okato,NZ,2022-02-12 15:16:19,-39.2,173.8833,75.9,83,100,17.6,overcast clouds
217,Zabaykalsk,RU,2022-02-12 15:16:19,49.6333,117.3167,-19.37,100,38,3.65,scattered clouds
218,Abhayapuri,IN,2022-02-12 15:16:19,26.3333,90.6667,64.49,60,0,3.31,clear sky
219,Muli,MV,2022-02-12 15:16:20,2.9167,73.5667,81.95,70,60,6.8,broken clouds
220,Ayan,RU,2022-02-12 15:16:20,56.45,138.1667,-4.92,81,54,6.71,broken clouds
221,Mporokoso,ZM,2022-02-12 15:16:20,-9.3727,30.125,67.44,88,100,3.83,light rain
222,Genhe,CN,2022-02-12 15:16:20,50.7833,121.5167,-20.63,100,52,1.21,broken clouds
223,Puerto Del Rosario,ES,2022-02-12 15:16:21,28.5004,-13.8627,69.55,68,20,12.66,few clouds
224,Marawi,PH,2022-02-12 15:17:21,7.9986,124.2928,67.64,94,100,1.74,overcast clouds
225,Verkhnyaya Inta,RU,2022-02-12 15:17:22,65.9811,60.3094,7.9,85,100,13.04,overcast clouds
226,Usinsk,RU,2022-02-12 15:17:22,65.9939,57.5281,10.27,94,100,15.14,light snow
227,Channel-Port Aux Basques,CA,2022-02-12 15:17:22,47.5702,-59.1367,38.08,96,100,17.74,overcast clouds
228,Ban Dung,TH,2022-02-12 15:17:23,17.699,103.2596,78.87,99,100,3.78,overcast clouds
229,Ancud,CL,2022-02-12 15:17:23,-41.8697,-73.8203,75.22,59,80,4.43,broken clouds
230,Vila Velha,BR,2022-02-12 15:17:23,-20.3297,-40.2925,82.35,82,40,13.8,scattered clouds
231,Chara,RU,2022-02-12 15:17:23,56.9064,118.2631,-18.8,96,100,0.72,overcast clouds
232,Mangrol,IN,2022-02-12 15:17:24,21.1167,70.1167,71.49,58,4,11.39,clear sky
233,Yar-Sale,RU,2022-02-12 15:17:24,66.8333,70.8333,-6.5,88,100,14.56,overcast clouds
234,Shahrud,IR,2022-02-12 15:17:24,36.4182,54.9763,40.1,70,14,7.11,few clouds
235,Bengkulu,ID,2022-02-12 15:17:25,-3.8004,102.2655,77.61,85,100,5.08,overcast clouds
236,Faya,SA,2022-02-12 15:17:25,18.3851,42.4509,62.71,71,29,6.93,scattered clouds
237,Onega,RU,2022-02-12 15:17:25,63.9061,38.1404,8.38,97,35,4.52,scattered clouds
238,Sao Joao Da Barra,BR,2022-02-12 15:17:25,-21.6403,-41.0511,80.69,77,100,1.92,overcast clouds
239,Moussoro,TD,2022-02-12 15:17:26,13.6408,16.4901,90.19,7,91,10.56,overcast clouds
240,Maholi,IN,2022-02-12 15:17:26,27.6667,80.4667,55.8,60,0,5.23,clear sky
241,Esna,EG,2022-02-12 15:17:26,25.2934,32.554,73.0,24,0,17.11,clear sky
242,Shingu,JP,2022-02-12 15:17:27,33.7333,135.9833,40.91,68,0,5.7,clear sky
